SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
0903700006032000,42.9339398677,-78.8368083258,2019,81000,198 JEWETT AVE,220,TWO FAMILY DWELLING
0888200003014100,42.9228029803,-78.8928641019,2019,145000,366 HERKIMER,210,ONE FAMILY DWELLING
0888400005027000,42.9205893486,-78.8838070778,2002,44900,396 LAFAYETTE AVE,220,TWO FAMILY DWELLING
0903400004036000,42.93679078,-78.804695798,1998,35900,238 HASTINGS,210,ONE FAMILY DWELLING
0898200004028000,42.9199512208,-78.8501189787,2014,15000,239 FLORIDA,220,TWO FAMILY DWELLING
0897400001032000,42.9241642665,-78.8498934661,2014,51200,74 MEECH,210,ONE FAMILY DWELLING
0902600003008000,42.9413149747,-78.8045362873,1999,33900,1383 KENSINGTON,283,RESIDENCE WITH COMMERCIAL USE
0896100002014000,42.9268221508,-78.8799390924,2006,136500,168 CLAREMONT,230,THREE FAMILY DWELLING
0898200003014000,42.9209429043,-78.8472781921,2016,28000,26 PANSY,210,ONE FAMILY DWELLING
0897900005009000,42.9197102086,-78.870232577,2003,175000,51 LANCASTER,210,ONE FAMILY DWELLING
0887400003044000,42.9251480492,-78.8944735379,2014,76500,4 GARNER,210,ONE FAMILY DWELLING
0886800003027000,42.9262305809,-78.8854290662,2000,67000,364 BIRD,220,TWO FAMILY DWELLING
0902400008016000,42.9406622241,-78.8181753234,2010,17500,201 BERKSHIRE,210,ONE FAMILY DWELLING
0902600003028000,42.9396582096,-78.8040833822,2000,36500,82 LEONARD,220,TWO FAMILY DWELLING
0904100001008000,42.9357068564,-78.8140482175,2018,84500,2972 BAILEY,482,DOWNTOWN ROW TYPE (DETACHED)
0887400004018000,42.9245878835,-78.892750887,2013,42000,430 HERKIMER,220,TWO FAMILY DWELLING
0894300006003000,42.9344200066,-78.846083076,2001,96000,34 WILLOWLAWN,210,ONE FAMILY DWELLING
0904100009024000,42.9352991523,-78.8108479176,1996,45000,74 MILLICENT,210,ONE FAMILY DWELLING
0886800004034000,42.9263804172,-78.8844804609,2009,68000,395 BAYNES,210,ONE FAMILY DWELLING
0897900003004000,42.921992098,-78.8654068384,2018,150000,911 DELAVAN WEST,311,RESIDENTIAL VACANT LAND
0903500003001000,42.9390624579,-78.8003587812,2002,46000,57 JANET,220,TWO FAMILY DWELLING
0887400007008000,42.9238648964,-78.8967390015,2018,119900,69 POTOMAC,220,TWO FAMILY DWELLING
